name,coreName,country,methodology,levels
"Manifestar su agrado, al sentirse cómodo, seguro y contenido corporalmente.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Descubrir partes de su cuerpo y algunas de sus características físicas, a través de diversas experiencias sensoriomotrices.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
Manifestar interés y satisfacción al moverse libremente en situaciones cotidianas y lúdicas.,Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Ampliar sus posibilidades de exploración sensoriomotriz, adquiriendo control de la prensión palmar voluntaria (toma objetos, se pasa objetos de una mano a otra, entre otros) y la postura sedente.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Adquirir desplazamiento gradual en sus distintas formas (girar, reptar, ponerse de pie, caminar), para disfrutar la ampliación de sus posibilidades de movimiento, exploración y juego.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Coordinar movimientos de manipulación ubicando objetos en relación a su propio cuerpo, tales como: acercar objetos pequeños utilizando índice y pulgar en oposición.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Explorar la alternancia de posturas y movimientos en acciones tales como: trepar, lanzar objetos o hacer ronda, adquiriendo control gradual de su cuerpo al jugar.",Corporalidad y Movimiento,cl,,"Sala Cuna Mayor, Sala Cuna Menor"
"Reconocer situaciones en que se siente cómodo corporalmente, manifestando al adulto su bienestar y su interés por mantener estas condiciones.",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer las principales partes, características físicas de su cuerpo y sus funciones en situaciones cotidianas y de juego",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Experimentar diversas posibilidades de acción con su cuerpo, en situaciones cotidianas y de juego, identificando progresivamente el vocabulario asociado.",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer el bienestar que le produce el movimiento libre en situaciones cotidianas y lúdicas, manifestando su interés por desarrollarlo en forma frecuente.",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Perfeccionar su coordinación visomotriz fina, a través del uso de diversos objetos, juguetes y utensilios.",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Adquirir control y equilibrio en movimientos, posturas y desplazamientos que realiza en diferentes direcciones y en variadas situaciones cotidianas y juegos, con y sin implementos.",Corporalidad y Movimiento,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
